State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Thuringia,Lathyrus niger,2,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Baden-Württemberg,Lathyrus palustris,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Bavaria,Lathyrus palustris,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Berlin,Lathyrus palustris,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Brandenburg,Lathyrus palustris,3,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Bremen/Lower Saxony,Lathyrus palustris,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Hamburg,Lathyrus palustris,1,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Hesse,Lathyrus palustris,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Lathyrus palustris,3,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
North Rhine-Westphalia,Lathyrus palustris,0,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Rhineland-Palatinate,Lathyrus palustris,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Saxony,Lathyrus palustris,0,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Saxony-Anhalt,Lathyrus palustris,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Schleswig-Holstein,Lathyrus palustris,1,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Thuringia,Lathyrus palustris,V,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,violet,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Berlin,Lathyrus sylvestris,V,Sun to Half-shade,moist to dry,N-rich,alkaline,humus,to -28 °C (to Climatic zone 5),200,pink,Bees (10 spp.),Butterflies (1 spp.),NA,NA,NA,yes,100+ cm
Hamburg,Lathyrus sylvestris,3,Sun to Half-shade,moist to dry,N-rich,alkaline,humus,to -28 °C (to Climatic zone 5),200,pink,Bees (10 spp.),Butterflies (1 spp.),NA,NA,NA,yes,100+ cm
Schleswig-Holstein,Lathyrus sylvestris,V,Sun to Half-shade,moist to dry,N-rich,alkaline,humus,to -28 °C (to Climatic zone 5),200,pink,Bees (10 spp.),Butterflies (1 spp.),NA,NA,NA,yes,100+ cm
Berlin,Lathyrus tuberosus,3,Sun to Half-shade,dry,N-rich,alkaline,NA,to -28 °C (to Climatic zone 5),150,red,Bees (10 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Brandenburg,Lathyrus tuberosus,V,Sun to Half-shade,dry,N-rich,alkaline,NA,to -28 °C (to Climatic zone 5),150,red,Bees (10 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Bremen/Lower Saxony,Lathyrus tuberosus,V,Sun to Half-shade,dry,N-rich,alkaline,NA,to -28 °C (to Climatic zone 5),150,red,Bees (10 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Lathyrus tuberosus,2,Sun to Half-shade,dry,N-rich,alkaline,NA,to -28 °C (to Climatic zone 5),150,red,Bees (10 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Saxony,Lathyrus tuberosus,3,Sun to Half-shade,dry,N-rich,alkaline,NA,to -28 °C (to Climatic zone 5),150,red,Bees (10 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Berlin,Lathyrus vernus,R,Half-shade,moist,N-rich,NA,permeable to humus,to -34 °C (to Climatic zone 4),40,violet,Bees (4 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Brandenburg,Lathyrus vernus,V,Half-shade,moist,N-rich,NA,permeable to humus,to -34 °C (to Climatic zone 4),40,violet,Bees (4 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Saarland,Lathyrus vernus,0,Half-shade,moist,N-rich,NA,permeable to humus,to -34 °C (to Climatic zone 4),40,violet,Bees (4 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Saxony,Lathyrus vernus,V,Half-shade,moist,N-rich,NA,permeable to humus,to -34 °C (to Climatic zone 4),40,violet,Bees (4 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Schleswig-Holstein,Lathyrus vernus,1,Half-shade,moist,N-rich,NA,permeable to humus,to -34 °C (to Climatic zone 4),40,violet,Bees (4 spp.),Butterflies (3 spp.),NA,3 spp. of mammals,NA,NA,0-40 cm
Thuringia,Lavatera thuringiaca,0,Sun to Half-shade,moist,N-rich,NA,permeable to humus,to -17 °C (to Climatic zone 7),150,rose,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Ledum palustre,0,Sun to Half-shade,wet to moist,NA,NA,permeable to humus,NA,150,white,NA,NA,NA,NA,NA,NA,100+ cm
Bavaria,Ledum palustre,1,Sun to Half-shade,wet to moist,NA,NA,permeable to humus,NA,150,white,NA,NA,NA,NA,NA,NA,100+ cm
Brandenburg,Ledum palustre,2,Sun to Half-shade,wet to moist,NA,NA,permeable to humus,NA,150,white,NA,NA,NA,NA,NA,NA,100+ cm
Bremen/Lower Saxony,Ledum palustre,2,Sun to Half-shade,wet to moist,NA,NA,permeable to humus,NA,150,white,NA,NA,NA,NA,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Ledum palustre,3,Sun to Half-shade,wet to moist,NA,NA,permeable to humus,NA,150,white,NA,NA,NA,NA,NA,NA,100+ cm
Thuringia,Ledum palustre,V,Sun to Half-shade,wet to moist,NA,NA,permeable to humus,NA,150,white,NA,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Legousia speculum-veneris,3,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Bavaria,Legousia speculum-veneris,3,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Legousia speculum-veneris,1,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Hesse,Legousia speculum-veneris,2,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Legousia speculum-veneris,0,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Rhineland-Palatinate,Legousia speculum-veneris,3,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Saarland,Legousia speculum-veneris,1,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony,Legousia speculum-veneris,1,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Legousia speculum-veneris,1,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Legousia speculum-veneris,3,Sun,moist,N-rich,alkaline,normal to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Hamburg,Leontodon hispidus,1,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,NA,40,yellow,Bees (7 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Leontodon hispidus,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,NA,40,yellow,Bees (7 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Saxony-Anhalt,Leontodon hispidus,V,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,NA,40,yellow,Bees (7 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Schleswig-Holstein,Leontodon hispidus,2,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,NA,40,yellow,Bees (7 spp.),Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,0-40 cm
Bavaria,Leontopodium alpinum,2,Sun,wet to moist,N-poor,alkaline,permeable to loamy,to -28 °C (to Climatic zone 5),20,white,NA,NA,NA,NA,NA,yes,0-40 cm
Brandenburg,Leonurus cardiaca,3,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Hamburg,Leonurus cardiaca,2,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Mecklenburg-Western Pomerania,Leonurus cardiaca,3,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Rhineland-Palatinate,Leonurus cardiaca,3,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Saarland,Leonurus cardiaca,1,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Saxony,Leonurus cardiaca,V,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Saxony-Anhalt,Leonurus cardiaca,2,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Schleswig-Holstein,Leonurus cardiaca,1,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to humus,to -40 °C (to Climatic zone 3),120,rose,Bees,NA,NA,NA,yes,yes,100+ cm
Mecklenburg-Western Pomerania,Lepidium latifolium,3,Sun,moist,intermediate,alkaline,permeable,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Berlin,Leucanthemum ircutianum,V,Sun to Half-shade,moist to dry,N-poor,NA,permeable,NA,100,white,NA,NA,NA,NA,NA,yes,60-100 cm
Brandenburg,Leucanthemum ircutianum,V,Sun to Half-shade,moist to dry,N-poor,NA,permeable,NA,100,white,NA,NA,NA,NA,NA,yes,60-100 cm
Mecklenburg-Western Pomerania,Leucanthemum ircutianum,3,Sun to Half-shade,moist to dry,N-poor,NA,permeable,NA,100,white,NA,NA,NA,NA,NA,yes,60-100 cm
Saxony,Leucanthemum ircutianum,V,Sun to Half-shade,moist to dry,N-poor,NA,permeable,NA,100,white,NA,NA,NA,NA,NA,yes,60-100 cm
Brandenburg,Leucanthemum vulgare,G,Sun,moist to dry,N-poor,NA,permeable to normal,to -40 °C (to Climatic zone 3),60,white,Bees (21 spp.),Butterflies (14 spp.),NA,2 spp. of mammals,NA,"yes, medium pots",40-60 cm
Schleswig-Holstein,Leucanthemum vulgare,3,Sun,moist to dry,N-poor,NA,permeable to normal,to -40 °C (to Climatic zone 3),60,white,Bees (21 spp.),Butterflies (14 spp.),NA,2 spp. of mammals,NA,"yes, medium pots",40-60 cm
Brandenburg,Leucojum aestivum,R,Sun to Half-shade,wet,N-rich,NA,permeable to humus,to -34 °C (to Climatic zone 4),40,white,NA,NA,NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Leucojum aestivum,0,Sun to Half-shade,wet,N-rich,NA,permeable to humus,to -34 °C (to Climatic zone 4),40,white,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Leucojum vernum,V,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
Bavaria,Leucojum vernum,3,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
Hesse,Leucojum vernum,3,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Leucojum vernum,R,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
North Rhine-Westphalia,Leucojum vernum,3,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
Rhineland-Palatinate,Leucojum vernum,3,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
Saxony,Leucojum vernum,3,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
Thuringia,Leucojum vernum,3,Half-shade to Shade,wet to moist,N-rich,acidic,permeable,to -28 °C (to Climatic zone 5),30,white,Bees,NA,NA,NA,NA,yes,0-40 cm
Berlin,Leymus arenarius,1,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),130,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Hamburg,Leymus arenarius,3,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),130,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
North Rhine-Westphalia,Leymus arenarius,1,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),130,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Saarland,Leymus arenarius,0,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),130,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Thuringia,Libanotis pyrenaica,3,Sun,dry,N-poor,alkaline,permeable,NA,120,white,NA,NA,NA,NA,NA,NA,100+ cm
Brandenburg,Lilium martagon,2,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -34 °C (to Climatic zone 4),100,violet,NA,Butterflies (5 spp.),NA,1 spp. of mammals,NA,yes,60-100 cm
Bremen/Lower Saxony,Lilium martagon,3,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -34 °C (to Climatic zone 4),100,violet,NA,Butterflies (5 spp.),NA,1 spp. of mammals,NA,yes,60-100 cm
Hesse,Lilium martagon,V,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -34 °C (to Climatic zone 4),100,violet,NA,Butterflies (5 spp.),NA,1 spp. of mammals,NA,yes,60-100 cm
Mecklenburg-Western Pomerania,Lilium martagon,R,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -34 °C (to Climatic zone 4),100,violet,NA,Butterflies (5 spp.),NA,1 spp. of mammals,NA,yes,60-100 cm
North Rhine-Westphalia,Lilium martagon,3,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -34 °C (to Climatic zone 4),100,violet,NA,Butterflies (5 spp.),NA,1 spp. of mammals,NA,yes,60-100 cm
Rhineland-Palatinate,Lilium martagon,3,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -34 °C (to Climatic zone 4),100,violet,NA,Butterflies (5 spp.),NA,1 spp. of mammals,NA,yes,60-100 cm
Saxony,Lilium martagon,3,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -34 °C (to Climatic zone 4),100,violet,NA,Butterflies (5 spp.),NA,1 spp. of mammals,NA,yes,60-100 cm
Bremen/Lower Saxony,Limonium vulgare,V,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),40,blue,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Limonium vulgare,2,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),40,blue,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,yes,0-40 cm
Baden-Württemberg,Linaria alpina,0,Sun,dry,N-poor,alkaline,permeable,to -34 °C (to Climatic zone 4),10,violet,Bees,Butterflies (1 spp.),NA,NA,NA,"yes, small pots",0-40 cm
Thuringia,Linaria repens,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable to humus,NA,60,purple,Bees (1 spp.),Butterflies (2 spp.),NA,2 spp. of mammals,NA,"yes, medium pots",40-60 cm
Schleswig-Holstein,Linaria vulgaris,V,Sun,moist to dry,N-poor,NA,permeable to normal,to -34 °C (to Climatic zone 4),60,yellow,Bees (2 spp.),Butterflies (4 spp.),NA,4 spp. of mammals,NA,"yes, medium pots",40-60 cm
Bavaria,Linum alpinum,R,Sun,moist to dry,intermediate,alkaline,permeable,NA,30,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Linum austriacum,V,Sun,moist to dry,intermediate,alkaline,permeable,to -40 °C (to Climatic zone 3),80,blue,NA,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Linum flavum,2,Sun to Half-shade,moist to dry,intermediate,alkaline,permeable to humus,to -28 °C (to Climatic zone 5),50,yellow,Bees,NA,NA,NA,NA,"yes, medium pots",40-60 cm
Bavaria,Linum flavum,1,Sun to Half-shade,moist to dry,intermediate,alkaline,permeable to humus,to -28 °C (to Climatic zone 5),50,yellow,Bees,NA,NA,NA,NA,"yes, medium pots",40-60 cm
Baden-Württemberg,Linum perenne,0,Sun,dry,N-poor,alkaline,permeable,to -17 °C (to Climatic zone 7),60,blue,Bees,NA,NA,NA,yes,"yes, medium pots",40-60 cm
Bavaria,Linum perenne,1,Sun,dry,N-poor,alkaline,permeable,to -17 °C (to Climatic zone 7),60,blue,Bees,NA,NA,NA,yes,"yes, medium pots",40-60 cm
Hesse,Linum perenne,3,Sun,dry,N-poor,alkaline,permeable,to -17 °C (to Climatic zone 7),60,blue,Bees,NA,NA,NA,yes,"yes, medium pots",40-60 cm
Baden-Württemberg,Linum tenuifolium,3,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Bavaria,Linum tenuifolium,3,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Linum tenuifolium,1,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Hesse,Linum tenuifolium,2,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Linum tenuifolium,0,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Rhineland-Palatinate,Linum tenuifolium,2,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Saarland,Linum tenuifolium,3,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Linum tenuifolium,0,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Thuringia,Linum tenuifolium,0,Sun,dry,intermediate,alkaline,permeable to loamy,to -23 °C (to Climatic zone 6),45,rose,Bees (1 spp.),NA,NA,NA,NA,NA,40-60 cm
Berlin,Listera ovata,2,Sun to Half-shade,moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Brandenburg,Listera ovata,3,Sun to Half-shade,moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Hamburg,Listera ovata,1,Sun to Half-shade,moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Saarland,Listera ovata,V,Sun to Half-shade,moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Saxony,Listera ovata,V,Sun to Half-shade,moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Schleswig-Holstein,Listera ovata,2,Sun to Half-shade,moist,N-rich,NA,loamy,NA,50,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Lithospermum officinale,V,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Brandenburg,Lithospermum officinale,2,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Bremen/Lower Saxony,Lithospermum officinale,3,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Hamburg,Lithospermum officinale,0,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Hesse,Lithospermum officinale,3,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Lithospermum officinale,2,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
North Rhine-Westphalia,Lithospermum officinale,2,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Saarland,Lithospermum officinale,R,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Saxony,Lithospermum officinale,0,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Lithospermum officinale,2,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Lithospermum officinale,1,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Thuringia,Lithospermum officinale,1,Sun to Half-shade,moist,N-rich,alkaline,loamy,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Bavaria,Lithospermum purpurocaeruleum,3,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -23 °C (to Climatic zone 6),30,pink,Bees,NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Lithospermum purpurocaeruleum,3,Sun to Half-shade,moist to dry,N-rich,alkaline,permeable to humus,to -23 °C (to Climatic zone 6),30,pink,Bees,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Bavaria,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Berlin,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Brandenburg,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Bremen/Lower Saxony,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Hamburg,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Hesse,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
North Rhine-Westphalia,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Rhineland-Palatinate,Lolium temulentum,0,Sun,moist to dry,N-rich,NA,loamy,NA,90,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
